Location,Coordinates,Code
Abrantes,3927 N 00811 W,ABRAN
Academia Militar Lisboa,3843 N 00908 W,ACMIL
Agucadoura,4125 N 00846 W,AGUSA
Aguda,4102 N 00839 W,AGUDA
Agueda,4034 N 00826 W,AGUED
Aguieira,4020 N 00811 W,AGUIE
Alandroal,3842 N 00724 W,ALOAL
Albergaria-A-Velha,4041 N 00828 W,ALVEL
Albernoa,3751 N 00757 W,ALBER
Albufeira,3705 N 00814 W,ALBUF
Albufeira Do Azibo,4135 N 00654 W,ALAZI
Alcacer Do Sal,3822 N 00830 W,ADSAL
Alcacovas,3823 N 00809 W,ALVAS
Alcains,3954 N 00727 W,ALCAI
Alcanena,3927 N 00840 W,ALCAN
Alcaria (Fundao),4011 N 00731 W,ALCAR
Alcobaca,3932 N 00858 W,ALCOB
Alcochete,3845 N 00857 W,ALCHE
Alcoentre,3912 N 00857 W,ALCOE
Alcoutim,3728 N 00728 W,ALCOU
Aldeia Da Ponte,4024 N 00652 W,APONT
Aldeia Do Bispo,4019 N 00650 W,ABISP
Aldeia Nova S. Bento (Serpa),3755 N 00724 W,ANSBT
Alenquer,3902 N 00859 W,ALENQ
Alfandega Da Fé,4120 N 00657 W,ALFFE
Alfena,4114 N 00829 W,ALFEN
Alfragide,3844 N 00913 W,ALFRG
Alges,3842 N 00913 W,ALGES
Algoso,4128 N 00634 W,ALGSO
Alhandra,3855 N 00900 W,ALHAN
Alhos Vedros,3838 N 00900 W,AVEDR
Alijo Ad,4119 N 00727 W,ALIJO
Aljezur,3719 N 00848 W,ALZUR
Aljustrel,3752 N 00809 W,ALJUS
Almada,3840 N 00909 W,ALMAD
Almancil,3705 N 00801 W,ALCIL
Almeirim,3912 N 00837 W,ALMEI
Almendra,4059 N 00703 W,ALMEN
Almodovar,3730 N 00803 W,ALMOD
Almourol (Castelo),3927 N 00823 W,ALMOU
Alpalhao (Nisa),3924 N 00737 W,ALPAL
Alpiarca,3915 N 00834 W,ALPIA
Alter Do Chao,3912 N 00739 W,ALTER
Alto Mira (Central Eletrica),3846 N 00914 W,ALMIR
Altura,3710 N 00730 W,ALTUR
Alvalade,3756 N 00823 W,ALADE
Alvarenga,4058 N 00809 W,ALVAR
Alverca,3852 N 00901 W,ALVER
Alvito,3815 N 00759 W,ALVIT
Alvor,3707 N 00835 W,ALVOR
Amadora,3845 N 00913 W,AMDRA
Amarante,4116 N 00804 W,AMARA
Amares,4137 N 00820 W,AMARE
Ameixial,3721 N 00757 W,AMEIX
Amendoeira Da Serra,3742 N 00741 W,AMEND
Amiaes De Baixo,3926 N 00843 W,AMBXO
Anadia,4026 N 00826 W,ANDIA
Anca,4016 N 00831 W,ANCA
Ansiao,3954 N 00826 W,ANSIA
Aparica (Monte De) – Beja,3805 N 00752 W,APICA
Apulia,4129 N 00846 W,APULI
Arazede,4016 N 00839 W,ARAZE
Arcos De Valdevez,4150 N 00825 W,ARCOS
Arcozelo,4103 N 00838 W,ARCZL
Arganil,4013 N 00803 W,ARGAN
Armacao De Pera,3706 N 00821 W,APERA
Armamar,4106 N 00741 W,ARMAR
Armona,3701 N 00746 W,ARMON
Arouca,4055 N 00814 W,AROCA
Arraiolos,3843 N 00759 W,ARRAI
Arranho,3857 N 00908 W,ARRHO
Arripiado,3927 N 00823 W,ARRIP
Arronches,3907 N 00717 W,ARRON
Arruda Dos Vinhos,3859 N 00904 W,AVINH
AT 1,3846 N 00907 W,ATI
Aveiras De Cima,3908 N 00854 W,ACIMA
Aveiro,4038 N 00839 W,AVEIR
Avidagos,4124 N 00718 W,AVGOS
Avintes,4105 N 00833 W,AVINT
Avis,3903 N 00753 W,AVIS
Azinhal,3717 N 00727 W,AZINH
Bacelo (Evora),3836 N 00749 W,BACEL
Baiao,4109 N 00802 W,BAIAO
Baleizao,3801 N 00743 W,BLZAO
Baltar,4111 N 00823 W,BALTR
Balugaes,4138 N 00838 W,BALUG
Barca D’ Alva,4101 N 00656 W,BALVA
Barcelos,4131 N 00836 W,BELOS
Barragem Da Bemposta,4118 N 00628 W,BEMPO
Barragem Da Bravura,3712 N 00841 W,BVURA
